unicorn_venture,founders_2_or_3,founders_4_or_more,prior_employer_prominence_ln,prior_vc_backing,founders_years_work_exp_ln,founders_founding_experience_b,founders_linkedin_jobs_missing,mba,technical_masters,technical_doctorate,founders_educ_us_news,founders_linkedin_educ_missing,has_female,num_grabs_before_vc_rnd_ln,cb_cat_media_and_entertainment,cb_cat_video,cb_cat_commerce_and_shopping,cb_cat_internet_services,cb_cat_real_estate,cb_cat_education,cb_cat_manufacturing,cb_cat_science_and_engineering,cb_cat_consumer_electronics,cb_cat_content_and_publishing,cb_cat_hardware,cb_cat_software,cb_cat_financial_services,cb_cat_mobile,cb_cat_artificial_intelligence,cb_cat_data_and_analytics,cb_cat_information_technology,cb_cat_sales_and_marketing,cb_cat_health_care,cb_cat_apps,cb_cat_messaging_and_telecommuni,cb_cat_government_and_military,cb_cat_transportation,cb_cat_events,cb_cat_advertising,cb_cat_design,cb_cat_lending_and_investments,cb_cat_energy,cb_cat_agriculture_and_farming,cb_cat_biotechnology,cb_cat_food_and_beverage,cb_cat_professional_services,cb_cat_privacy_and_security,cb_cat_natural_resources,cb_cat_community_and_lifestyle,cb_cat_sports,cb_cat_sustainability,cb_cat_travel_and_tourism,cb_cat_clothing_and_apparel,cb_cat_consumer_goods,cb_cat_platforms,cb_cat_navigation_and_mapping,cb_cat_payments,cb_cat_administrative_services,cb_cat_gaming,cb_cat_na,cb_cat_music_and_audio,status_ranking_scaled,raised_amount_usd_m_ln,prev_raised_m_ln,cb_round_year,venture_age_at_round,round_had_revenue,round_profitable,pb_accel_incubator,state_california,state_ny,state_ma,state_tx,state_wa
0,0,0,0.69314718,0,1.8196766,1,0,0,0,0,52.900002,0,0,0,0.125,0,0.125,0.125,0,0,0.125,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,2.28,0.91629076,0.11332869,2016,3,0,0,1,1,0,0,0,0
,1,0,0,0,2.2117307,1,0,1,0,0,28,0,0,1.7917595,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69314718,0.014888613,2017,3,,,0,0,0,0,0,0
0,1,0,3.0910425,0,2.1229994,0,0,0,0,0,73.699997,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.545,0.91628993,0,2017,2,1,0,0,0,0,0,0,1
0,0,0,1.0986123,0,2.0342579,1,0,1,0,0,98.599998,0,0,0,0,0,0,0,0,0,0,0.16666667,0,0,0,0.16666667,0,0,0.16666667,0.16666667,0.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9400001,1.3862944,0,2016,3,1,0,1,0,1,0,0,0
0,0,0,4.1896548,0,3.3633201,1,0,0,0,0,0,1,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.825,2.1972246,0,2013,3,0,0,0,1,0,0,0,0
0,1,0,4.2484951,0,2.3280125,1,0,0,0,0,99.199997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33333334,0,0,0,0,0,0,0.33333334,0,0,0,0.33333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,0.74193734,0,2012,1,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,88.099998,0,0,3.6375861,0.2,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,2.2,1.0647107,0,2012,5,0,0,0,1,0,0,0,0
0,1,0,0,0,1.6407242,0,0,0,0,0,0,1,0,3.1780539,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60399997,0.69314718,0.34358615,2011,4,1,0,0,1,0,0,0,0
0,0,0,4.5325994,0,2.0169101,0,0,1,1,0,91.699997,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.91629076,0,2011,3,0,0,0,1,0,0,0,0
0,1,0,4.0775375,0,2.5445101,0,0,0,0,0,78.599998,0,0,1.3862944,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47999999,1.410987,0,2017,2,1,0,1,1,0,0,0,0
0,0,0,0.69314718,0,1.9161165,0,0,0,0,0,100,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51066667,1.3350011,0,2014,4,1,0,0,0,0,0,0,0
0,1,0,1.3862944,0,1.7281338,0,0,0,0,0,28,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69314718,0,2014,2,1,0,0,1,0,0,0,0
0,1,0,3.5553482,0,2.9524815,1,0,1,1,0,59.599998,0,0,0,0,0,0.125,0,0,0,0,0.125,0,0,0,0.125,0.125,0,0.125,0.125,0,0.125,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72133332,1.1879807,0,2009,2,0,0,0,1,0,0,0,0
0,1,0,1.7917595,0,3.3937726,1,0,0,1,0,28,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69314718,0.22314355,2016,1,0,0,1,1,0,0,0,0
0,0,0,4.0430512,0,2.2531645,0,0,0,0,0,28,0,0,1.7917595,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192,2.0794415,0,2015,3,0,0,0,0,1,0,0,0
0,1,0,0,0,1.42854,0,0,0,0,1,73.699997,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55733335,0.98581678,0,2007,1,1,0,0,0,0,0,0,1
0,1,0,2.4849067,0,1.9455186,0,0,1,0,0,94.5,0,0,2.0794415,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74193734,0,2013,3,0,0,0,0,1,0,0,0
0,1,0,4.9272537,0,3.1250768,1,0,0,1,1,98.300003,0,1,0,0,0,0,0.125,0,0,0.125,0.125,0,0,0,0.125,0,0.125,0,0.125,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9459101,0,2007,3,1,0,0,0,0,1,0,0
,1,0,4.8283138,0,2.053421,0,0,0,0,0,84.599998,0,0,3.8501475,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69314718,0.53062826,2012,3,,,0,1,0,0,0,0
0,1,0,1.9459101,0,1.8601433,0,0,0,1,0,51.5,0,1,2.3978953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0794415,0,2016,5,1,0,0,1,0,0,0,0
0,1,0,4.1896548,0,2.3167312,0,0,1,0,0,99.199997,0,0,0.69314718,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064000003,1.0097781,0,2014,2,1,0,0,0,0,0,0,0
0,1,0,1.9459101,1,2.4405587,1,0,0,0,0,28,0,0,0.69314718,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1151413,0.30010459,2015,2,0,0,0,1,0,0,0,0
,0,0,0,0,1.6094379,1,0,0,0,0,85.400002,0,1,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6486586,0.61518562,2007,3,,,0,1,0,0,0,0
1,0,1,3.4339871,0,1.9695044,1,0,0,0,0,28,0,0,4.9767337,0,0,0,0,0,0,0,0,0.16666667,0,0.16666667,0.16666667,0,0.16666667,0,0.16666667,0,0,0.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.725,1.0473189,0.11332869,2014,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,64.699997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.855,2.1972246,0,2008,2,1,1,0,0,0,1,0,0
0,1,0,3.8066626,0,3.02808,1,0,0,0,0,91.699997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0296195,0,2014,3,1,0,0,1,0,0,0,0
0,0,0,2.1972246,0,1.8728553,0,0,0,1,0,71.699997,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6199999,1.0224509,0.95551145,2013,1,0,0,0,1,0,0,0,0
0,1,0,1.0986123,0,3.3846223,0,0,0,0,1,58.799999,0,0,0.69314718,0,0,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0647107,0,2010,1,1,0,0,1,0,0,0,0
1,0,0,5.4293456,0,2.7295525,1,0,0,0,0,91.699997,0,0,1.0986123,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98,0.87546873,0.11332869,2017,3,1,0,1,1,0,0,0,0
0,1,0,4.8283138,0,1.8003979,0,0,0,0,0,92.099998,0,0,2.0794415,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.355,2.1633229,0,2015,4,1,1,0,1,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,85.400002,0,0,0.69314718,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0.97455966,0,2017,3,1,0,0,1,0,0,0,0
0,1,0,5.7235851,0,2.2254376,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72799999,0.69314718,0,2010,1,0,0,1,1,0,0,0,0
0,1,0,5.7235851,0,2.3483701,0,0,0,1,0,92.099998,0,0,2.1972246,0,0,0,0,0,0,0,0,0,0,0.33333334,0.33333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33333334,0,0,2.8,1.6486586,0,2014,2,1,0,0,1,0,0,0,0
0,0,0,2.1972246,0,2.2862887,0,0,0,0,0,70.900002,0,0,1.3862944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1.705,1.0986123,0,2015,2,0,0,0,0,1,0,0,0
0,1,0,1.0986123,0,2.2051082,0,0,0,1,0,69.099998,0,0,1.3862944,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.895,1.0296195,0,2014,2,1,0,1,0,1,0,0,0
0,0,0,0.69314718,0,2.918437,0,0,0,0,0,28,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65466666,0.87546873,0,2014,1,0,0,0,0,0,1,0,0
0,1,0,3.0445225,0,2.5768905,1,0,0,0,0,70.900002,0,0,0.69314718,0,0,0,0.14285715,0,0,0,0.14285715,0,0,0,0.14285715,0,0,0.14285715,0.14285715,0.14285715,0,0,0,0,0,0,0,0,0.14285715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80933332,0.91629076,0,2014,1,1,0,0,1,0,0,0,0
0,0,0,1.6094379,0,3.3445544,0,0,0,0,0,85.400002,0,0,1.0986123,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9400001,0.81093019,0,2016,2,0,0,0,1,0,0,0,0
0,1,0,5.7235851,0,2.8288524,0,0,1,0,0,39.099998,0,0,0.69314718,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.665,1.410987,0.68461084,2014,2,1,0,0,0,0,1,0,0
1,1,0,4.4308167,0,1.9213448,1,0,0,1,0,98.300003,0,0,2.4849067,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79066664,1.8718022,0,2015,2,1,0,1,0,1,0,0,0
0,0,0,4.4308167,0,2.6884997,0,0,1,0,0,91.699997,0,0,1.0986123,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0.69314718,0,2017,3,1,0,1,1,0,0,0,0
0,1,0,0.69314718,0,2.941117,1,0,0,0,0,71.699997,0,0,1.0986123,0,0,0.125,0.125,0,0,0,0,0,0,0.125,0.125,0.125,0.125,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,1.0986123,0,2014,2,0,0,0,0,0,1,0,0
0,1,0,0.69314718,0,1.9051697,1,0,0,0,0,39.099998,0,0,2.0794415,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72,0.69314718,0.54812139,2011,1,0,0,0,0,1,0,0,0
0,0,0,0.69314718,1,1.9846792,1,0,0,0,0,64.900002,0,0,2.6390574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33333334,0,0,0,0,0,0,0,0.33333334,0,0,0,0,0,0,0,0,0.33333334,0,0,0,0,0,0,0,2.04,1.7917595,0,2017,2,1,0,0,1,0,0,0,0
0,0,0,5.7235851,0,2.0845654,0,0,0,0,0,95.099998,0,0,0,0,0,0,0.14285715,0,0,0,0.14285715,0,0,0.14285715,0.14285715,0,0,0.14285715,0.14285715,0.14285715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.4586151,0.47000363,2014,1,1,0,0,1,0,0,0,0
0,0,0,5.4293456,0,2.1938703,1,0,0,0,0,77.699997,0,0,0.69314718,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89866668,0.74193734,0,2016,1,1,0,0,1,0,0,0,0
,1,0,5.4293456,0,2.9860971,1,0,0,1,0,100,0,0,2.7725887,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5999999,1.0296195,0,2013,1,,,0,1,0,0,0,0
0,0,0,3.713572,0,3.2443032,0,0,1,1,0,99.199997,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.775,1.6094379,0,2014,2,1,0,1,1,0,0,0,0
0,0,0,1.6094379,0,3.529418,0,0,0,1,0,28,0,0,0.69314718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.2527629,0,2017,4,1,0,1,0,0,0,0,0
0,1,0,2.0794415,0,2.1828139,0,0,0,0,0,89.599998,0,0,1.3862944,0,0,0,0,0,0,0,0.16666667,0,0,0.16666667,0.16666667,0,0,0.16666667,0.16666667,0,0,0,0,0,0,0.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69314718,0,2013,3,1,0,1,0,0,0,0,0
,0,1,3.3322046,0,3.1423793,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0.69314718,0,2016,1,,,0,0,0,0,0,0
0,1,0,4.9272537,0,1.9824176,0,0,0,0,0,0,1,0,1.3862944,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7578579,0,2015,2,1,0,1,0,0,1,0,0
,1,0,0,0,0.91354728,0,0,0,1,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0.33333334,0,0,0,0,0.33333334,0,0,0.33333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5892352,0.53062826,2014,2,,,0,1,0,0,0,0
0,1,0,0.69314718,0,2.4842215,0,0,0,0,0,64.699997,0,1,3.9120231,0.14285715,0,0,0.14285715,0,0,0,0,0,0,0,0.14285715,0,0,0,0.14285715,0,0,0,0.14285715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285715,0,0,0,0.14285715,0,0,0,0,0,2.72,1.3862944,0.55961579,2010,2,0,0,0,1,0,0,0,0
,1,0,2.4849067,0,1.6586194,1,0,0,0,0,94.699997,0,0,0.69314718,0.11111111,0.11111111,0,0,0,0,0,0.11111111,0,0,0,0.11111111,0,0.11111111,0.11111111,0.11111111,0,0,0.11111111,0.11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6094379,0,2016,2,,,0,0,1,0,0,0
0,0,0,0,0,0.65261054,0,0,0,0,0,99.199997,0,0,0.69314718,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3199999,2.0794415,0,2015,2,1,0,0,0,1,0,0,0
0,1,0,2.3025851,0,2.7286582,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80485582,0.60157996,2015,4,1,0,0,0,0,1,0,0
0,1,0,2.9444389,0,2.2153246,1,0,0,1,0,88.099998,0,1,1.9459101,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8800001,0.9932518,0,2014,2,1,0,1,1,0,0,0,0
0,1,0,2.3025851,0,2.3886371,1,0,0,0,0,100,0,0,0.69314718,0,0,0,0.16666667,0,0,0,0,0,0,0.16666667,0.16666667,0,0,0.16666667,0.16666667,0.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,1.0296195,0,2016,2,1,0,0,0,0,1,0,0
0,0,1,2.7725887,0,2.5251806,1,0,1,0,0,71.199997,0,1,1.3862944,0.33333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33333334,0.66666669,0.69314718,0,2014,4,1,0,1,0,0,0,1,0
0,0,0,4.0604429,0,2.4858193,1,0,0,0,0,0,1,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75066668,2.2407098,0,2005,1,1,0,0,0,1,0,0,0
,0,0,4.9272537,0,2.2386675,0,0,0,0,0,48.400002,0,0,1.7917595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6900001,0.69314718,0,2013,4,,,0,1,0,0,0,0
1,1,0,5.4293456,0,1.6664137,1,0,0,1,0,91.699997,0,0,1.0986123,0,0,0,0.33333334,0,0,0,0,0,0,0,0.33333334,0,0,0,0.33333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.78845733,0,2010,2,1,1,0,1,0,0,0,0
0,0,0,4.9272537,0,2.8190932,1,0,0,0,0,28,0,0,2.1972246,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83290911,0,2013,5,1,0,1,0,0,1,0,0
0,0,0,0,0,1.6833502,0,0,0,0,0,0,1,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8718022,0,2017,4,1,0,0,0,1,0,0,0
0,0,0,0,0,1.6000792,1,0,0,0,0,66.099998,0,0,0.69314718,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6400001,0.95551145,0,2013,1,0,0,0,1,0,0,0,0
0,1,0,3.6109178,0,2.4419897,1,0,0,1,0,78.900002,0,0,0.69314718,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1314021,0,2017,2,0,0,0,1,0,0,0,0
0,1,0,4.5432949,0,2.1229994,1,0,0,1,0,91.699997,0,0,0,0,0,0.33333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33333334,0,0,0,0,0,0,0,0,0,0,0,0.33333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96,1.2809339,0,2015,2,1,0,0,1,0,0,0,0
